ratedate,rtp3
13520.952,.38095238
13535.833,.20833333
13543.25,.125
13555.217,.39130435
13570.737,.05263158
13600.158,.21052632
13625.714,.33333333
13640.421,.26315789
13663.4,.4
13668.719,.3125
13670,.6
13673.661,.42857143
13675.72,.56
13677,.56666667
13678,.625
13681.579,.31578947
13683.565,.39130435
13685,.5
13687.462,.30769231
13689,.34615385
13701.571,.28571429
13734.476,.42857143
13746.211,.31578947
13768.273,.36363636
13786.368,.36842105
13803.87,.17391304
13813.579,.21052632
13824.588,.52941176
13837.952,.14285714
13860.182,.31818182
13881.789,.15789474
13899.952,.23809524
13914.1,.15
13921.95,.3
13929.056,.61111111
13948.818,.27272727
13968.4,.3
13982.222,.38888889
13996.476,.28571429
14010.158,.26315789
14024,.3
14037.909,.22727273
14047.053,.15789474
14056.65,.3
14067.789,.26315789
14084.667,.19047619
14096.632,.10526316
14108.15,.2
14118.762,.28571429
14139.2,.25
14150.368,.31578947
14158.857,.14285714
14174.158,.21052632
14183.409,.13636364
14197.833,.16666667
14215.955,.22727273
14229.417,.16666667
14240.286,.35714286
