ratedate,rtp3
12077.788,.43310131
12128.894,.43352135
12176.045,.39529412
12220.101,.33333333
12260.174,.34168013
12304.524,.35139442
12340.378,.37909018
12369.722,.35980937
12404.676,.34171249
12444.078,.39160839
12479.106,.33249581
12525.817,.33647799
12572.645,.33042789
12613.664,.30097879
12662.387,.29834254
12703.745,.29472843
12753.917,.30946698
12807.388,.30112721
12856.607,.31761978
12909.044,.30008177
12970.339,.35942492
13023.977,.33945687
13080.801,.32613724
13141.735,.34885621
13185.166,.35367762
13221.227,.3322502
13260.124,.32771084
13304.584,.32563694
13371.856,.29448819
13425.412,.33493205
13481.275,.2944
13536.037,.28139905
13575.296,.34789392
13626.615,.35855004
13650.961,.42393822
13672.332,.39491525
13699.574,.40189873
13755.695,.39053729
13805.734,.33146517
13858.283,.2866293
13917.551,.29968203
13970.285,.29016787
14028.645,.30288837
14075.859,.3300813
14112.212,.33920368
14157.225,.32614108
14209.575,.37068304
14243.14,.32660978
14275.419,.41492037
14303.277,.2971246
14329.723,.385358
14351.775,.3273717
14383.178,.36415247
14416.619,.34575734
14463.792,.319063
14517.389,.29617834
14568.352,.29693637
14623.859,.31009615
14666.855,.28492502
14707.16,.32176656
14750.673,.31134352
14788.019,.32535885
14828.039,.31899351
14864.581,.32179386
14903.562,.30972763
14949.905,.33004115
15004.344,.34101749
15051.944,.3277512
15097.547,.3177496
15150.085,.31574803
15199.175,.35847526
15250.086,.34039216
15301.456,.35990529
15357.908,.31778656
15411.195,.3289689
15465.47,.35326954
15526.488,.34868944
15576.718,.354318
15624.085,.30931872
15674.683,.3400974
