ratedate,rtp3
13523.281,.30853994
13534.819,.26062323
13542.515,.27844311
13552.272,.28106509
13562.882,.36338028
13574.084,.37940379
13589.399,.31595092
13609.039,.33518006
13622.919,.31412104
13630.479,.38655462
13640.144,.38476954
13644.069,.42592593
13648.872,.46788991
13655.105,.45180723
13663.643,.34532374
13668.877,.32890365
13673.414,.45482866
13677.742,.44021739
13683.778,.47384615
13689.371,.46
13707.323,.3372093
13727.973,.3315508
13742.647,.43137255
13753.644,.36440678
13770.082,.39265537
13782.724,.34943182
13799.426,.36636637
13812.421,.31472081
13823.672,.29022082
13836.177,.31014493
13854.003,.29411765
13873.397,.26446281
13893.921,.28732394
13908.683,.28888889
13920.513,.30973451
13930.123,.3
13948.27,.29577465
13964.075,.31304348
13976.971,.2920354
13994.336,.27823691
14011.807,.28947368
14027.96,.29479769
14043.963,.33050847
14054.287,.31722054
14067.579,.30831099
14080.87,.34848485
14090.428,.3313783
14097.875,.34472934
14108.35,.28529412
14118.079,.35883905
14131.364,.40828402
14142.105,.27840909
14157.209,.35755814
14174.263,.29003021
14189.866,.28415301
14207.507,.35734072
14216.781,.44694534
14220.331,.40469208
14226.353,.35261708
14237.18,.31402439
