ratedate,rtp3
7692.6804,.39175258
7711.7045,.40909091
7716.2778,.375
7728.0286,.31428571
7736.2571,.37142857
7745.5625,.3875
7749.3529,.41176471
7755.6923,.4
7762.3375,.3125
7768.7903,.35483871
7773.3506,.42857143
7777.9444,.31944444
7782.3684,.38596491
7787.9118,.41176471
7794.9452,.35616438
7801.942,.4057971
7813.8409,.28409091
7827.6491,.43859649
7839.8571,.41269841
7853.907,.30232558
7867.2456,.31578947
7877.5479,.45205479
7889.3816,.34210526
7898.6441,.40677966
7907.5135,.45945946
7916.2576,.40909091
7923.1857,.34285714
7930.0921,.30263158
7939.2949,.5
7945.125,.17857143
7949.9881,.35714286
7954.9545,.43939394
7957.3415,.37804878
7960.6667,.49206349
7963.971,.53623188
7968.5513,.44871795
7971.2787,.42622951
7976.7397,.39726027
7982.1481,.32098765
7988.5909,.27272727
7997.883,.35106383
8007.3958,.4375
8016.3125,.375
8023.6792,.24528302
8032.4085,.32394366
8040.5424,.3559322
8049.7125,.3875
8057.6094,.28125
8062.2632,.30263158
8067.2353,.27941176
8069.4,.34117647
8073.5588,.27941176
8077.08,.41333333
8081.3333,.28333333
8084.1698,.41509434
8089.0685,.4109589
8096.0123,.43209877
8099.5789,.27631579
8103.8393,.39285714
8108.8438,.375
