ratedate,rtp3
12023.858,.46315789
12033.215,.43925234
12040.199,.46385542
12054.91,.37820513
12063.296,.47183099
12070.056,.36723164
12074.536,.41666667
12079.267,.42236025
12085.013,.46496815
12091.993,.48175182
12097.205,.41721854
12102.096,.46496815
12113.157,.3553719
12123.614,.42105263
12131.661,.3559322
12135.882,.47916667
12139.885,.45323741
12144.854,.44303797
12151.952,.44827586
12157.664,.40410959
12163.088,.43382353
12169.212,.37575758
12177.923,.38461538
12183.945,.43307087
12188.304,.35714286
12193.049,.3495935
12198.667,.35483871
12203.641,.35897436
12211.588,.3220339
12218.157,.38235294
12221.987,.25333333
12227.476,.32941176
12232.895,.31578947
12237.976,.28484848
12244.261,.30434783
12248.184,.34751773
12252.408,.36923077
12255.89,.31724138
12261.825,.34965035
12267.479,.35915493
