ratedate,reconv3
12023.858,.33684211
12033.215,.41121495
12040.199,.37349398
12054.91,.33974359
12063.296,.34507042
12070.056,.33898305
12074.536,.4047619
12079.267,.35403727
12085.013,.30573248
12091.993,.37956204
12097.205,.29801325
12102.096,.40764331
12113.157,.30578512
12123.614,.37426901
12131.661,.27118644
12135.882,.38888889
12139.885,.38848921
12144.854,.36708861
12151.952,.35862069
12157.664,.28767123
12163.088,.33823529
12169.212,.29090909
12177.923,.28671329
12183.945,.36220472
12188.304,.27380952
12193.049,.30894309
12198.667,.25268817
12203.641,.30769231
12211.588,.30508475
12218.157,.28431373
12221.987,.26666667
12227.476,.23529412
12232.895,.32330827
12237.976,.23030303
12244.261,.20289855
12248.184,.28368794
12252.408,.33846154
12255.89,.24137931
12261.825,.32867133
12267.479,.26760563
