ratedate,rtp3
11728.23,.44919786
11748.137,.36256324
11770.543,.40283401
11797.125,.41284404
11817.417,.41864407
11834.133,.44756554
11851.445,.43423423
11869.297,.41650295
11892.727,.45144804
11916.478,.39925373
11938.661,.43501805
11959.145,.41015625
11981.5,.39464286
12006.78,.42429577
12040.262,.42804428
12070.994,.40796964
12092.411,.45876289
12121.545,.39920949
12143.814,.45703839
12166.143,.39927405
12190.167,.37395659
12211.147,.34059406
12231.302,.2965642
12250.215,.33393502
12269.998,.35701275
12293.668,.3442029
12315.638,.32374101
12332.655,.37873134
12347.557,.36731107
12361.047,.35393258
12376.456,.32163743
12394.161,.34017094
12411.981,.3380531
12432.817,.40078585
12450.822,.36236934
12467.336,.35071942
12487.172,.32103321
12510.148,.33522727
12535.129,.32969035
12558.17,.34042553
