ratedate,rtp3
12092.489,.51136364
12094.653,.43055556
12096,.41025641
12099.523,.43076923
12101,.45238095
12102,.44827586
12103.349,.47619048
12113.056,.33707865
12115.35,.45
12117.096,.42307692
12127.857,.40952381
12130,.16
12131,.39655172
12134.5,.43243243
12136,.4939759
12137,.5
12138,.42857143
12141.447,.47368421
12143,.45205479
12145,.35714286
12148.85,.45
12151,.4893617
12153.869,.45901639
12156.667,.49275362
12158,.26470588
12160.482,.42352941
12163,.45
12164,.38888889
12165.493,.40298507
12170.86,.35087719
12173.984,.41269841
12177.537,.35365854
12179.923,.38461538
12183.477,.42045455
12185,.46153846
12186.505,.38461538
12189.927,.29268293
12191.429,.36507937
12193,.33333333
12194,.36363636
